created_at,incentives_name,path_name
'2022-11-05 22:31:21.576',"job","woodworkers"
'2022-11-05 22:31:21.576',"job","correctional officers and bailiffs"
'2022-11-05 22:31:21.576',"job","firefighters"
'2022-11-05 22:31:21.576',"job","fire inspectors"
'2022-11-05 22:31:21.576',"job","police and detectives"
'2022-11-05 22:31:21.576',"job","private detectives and investigators"
'2022-11-05 22:31:21.576',"job","security guards and gaming surveillance officers"
'2022-11-05 22:31:21.576',"job","advertising sales agents"
'2022-11-05 22:31:21.576',"job","cashiers"
'2022-11-05 22:31:21.576',"job","insurance sales agents"
'2022-11-05 22:31:21.576',"job","models"
'2022-11-05 22:31:21.576',"job","real estate brokers and sales agents"
'2022-11-05 22:31:21.576',"job","retail sales workers"
'2022-11-05 22:31:21.576',"job","sales engineers"
'2022-11-05 22:31:21.576',"job","securities, commodities, and financial services sales agents"
'2022-11-05 22:31:21.576',"job","travel agents"
'2022-11-05 22:31:21.576',"job","wholesale and manufacturing sales representatives"
'2022-11-05 22:31:21.576',"job","airline and commercial pilots"
'2022-11-05 22:31:21.576',"job","air traffic controllers"
'2022-11-05 22:31:21.576',"job","bus drivers"
'2022-11-05 22:31:21.576',"job","delivery truck drivers and driver or sales workers"
'2022-11-05 22:31:21.576',"job","flight attendants"
'2022-11-05 22:31:21.576',"job","hand laborers and material movers"
'2022-11-05 22:31:21.576',"job","heavy and tractor trailer truck drivers"
'2022-11-05 22:31:21.576',"job","material moving machine operators"
'2022-11-05 22:31:21.576',"job","railroad workers"
'2022-11-05 22:31:21.576',"job","taxi drivers, ride hailing drivers, and chauffeurs"
'2022-11-05 22:31:21.576',"job","water transportation workers"
