created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"pharmacists","community pharmacists"
'2022-11-05 21:28:04.421',"pharmacists","clinical pharmacists"
'2022-11-05 21:28:04.421',"pharmacists","consultant pharmacists"
'2022-11-05 21:28:04.421',"pharmacists","pharmaceutical industry pharmacists"
'2022-11-05 21:28:04.421',"physicians and surgeons","anesthesiologists"
'2022-11-05 21:28:04.421',"physicians and surgeons","family and general physicians"
'2022-11-05 21:28:04.421',"physicians and surgeons","general internists"
'2022-11-05 21:28:04.421',"physicians and surgeons","general pediatricians"
'2022-11-05 21:28:04.421',"physicians and surgeons","obstetricians and gynecologists"
'2022-11-05 21:28:04.421',"physicians and surgeons","psychiatrists"
'2022-11-05 21:28:04.421',"physicians and surgeons","surgeons"
'2022-11-05 21:28:04.421',"compensation, managers, benefits managers","compensation managers"
'2022-11-05 21:28:04.421',"compensation, managers, benefits managers","benefits managers"
'2022-11-05 21:28:04.421',"registered nurses","addiction nurses"
'2022-11-05 21:28:04.421',"registered nurses","cardiovascular nurses"
'2022-11-05 21:28:04.421',"registered nurses","critical care nurses"
'2022-11-05 21:28:04.421',"registered nurses","genetics nurses"
'2022-11-05 21:28:04.421',"registered nurses","neonatology nurses"
'2022-11-05 21:28:04.421',"registered nurses","nephrology nurses"
'2022-11-05 21:28:04.421',"registered nurses","public health nurses"
'2022-11-05 21:28:04.421',"registered nurses","rehabilitation nurses"
'2022-11-05 21:28:04.421',"registered nurses","clinical nurse specialists"
'2022-11-05 21:28:04.421',"veterinarians","companion animal veterinarians"
'2022-11-05 21:28:04.421',"veterinarians","food animal veterinarians"
'2022-11-05 21:28:04.421',"veterinarians","food safety and inspection veternarians"
'2022-11-05 21:28:04.421',"aircraft and avionics equipment mechanics and technicians","airframe and powerplant mechanics"
'2022-11-05 21:28:04.421',"aircraft and avionics equipment mechanics and technicians","avionics technicians"
'2022-11-05 21:28:04.421',"aircraft and avionics equipment mechanics and technicians","designated airworthiness representatives"
'2022-11-05 21:28:04.421',"aircraft and avionics equipment mechanics and technicians","inspection authorized mechanics"
'2022-11-05 21:28:04.421',"aircraft and avionics equipment mechanics and technicians","repairman"
'2022-11-05 21:28:04.421',"automotive service technicians and mechanics","automotive air conditioning technicians"
'2022-11-05 21:28:04.421',"automotive service technicians and mechanics","brake technicians"
'2022-11-05 21:28:04.421',"automotive service technicians and mechanics","drivability technicians"
'2022-11-05 21:28:04.421',"automotive service technicians and mechanics","front end technicians"
'2022-11-05 21:28:04.421',"automotive service technicians and mechanics","transmission technicians and rebuilders"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","commercial and industrial electrical and electronics equipment repairers"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","electric motor"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","power tool and related repairers"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","electrical and electronics installers and repairers of transported equipment"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","electronic equipment installers and repairers of motor vehicles"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","powerhouse"
'2022-11-05 21:28:04.421',"electrical and electronics installers and repairers","substation and relay electrical and electronics repairers"
'2022-11-05 21:28:04.421',"heavy vehicle and mobile equipment service technicians","farm equipment mechanics and service technicians"
'2022-11-05 21:28:04.421',"heavy vehicle and mobile equipment service technicians","mobile heavy equipment mechanics"
'2022-11-05 21:28:04.421',"heavy vehicle and mobile equipment service technicians","rail car repairers"
'2022-11-05 21:28:04.421',"industrial machinery mechanics, machinery maintenance workers, millwrights","industrial machinery mechanics"
'2022-11-05 21:28:04.421',"industrial machinery mechanics, machinery maintenance workers, millwrights","machinery maintenance workers"
'2022-11-05 21:28:04.421',"industrial machinery mechanics, machinery maintenance workers, millwrights","millwrights"
'2022-11-05 21:28:04.421',"line installers and repairers","electrical power line installers and repairers"
